name	jga	right	wrong	slot_acc	slot_f1
smapling_exp_topk_bm_5_fs_5_0620_1337	0.6655148583275743	963	484	0.7000691085003438	0.6545182009879005
mixed_retriever_fs_bm_sample_topk_70B_0710_0628	0.5646164478230823	817	630	0.973208938032714	0.9193443964372667
bm25_10_all_sim_70B_0710_0037	0.5632342778161714	815	632	0.9719880211932748	0.9184294660450436
fine_tuned_sbert_70B_0710_0434	0.5590877677954388	809	638	0.9724717806956938	0.9146671518399949
mixed_retriever_fs_bm_topk_70B_0710_0822	0.548030407740152	793	654	0.9730246486984588	0.917260258425786
mixed_retriever_fs_bm_sum_topk_70B_0710_1026	0.544574982722875	788	659	0.9724948168624763	0.9162221912956924
bm25_10_all_sim_div_70B_0710_0241	0.5369730476848652	777	670	0.9688781386777269	0.9067664957081728
fine_tuned_sbert_topk_70B_0709_0937	0.5342087076710436	773	674	0.9716655148583302	0.9089362551132567
pretrained_sbert_70B_0710_1413	0.5245335176226675	759	688	0.9692467173462356	0.908130903250596
mixed_retriever_fs_bm_topk	0.49896337249481687	722	725	0.9659986178299959	0.8934149641472164
fine_tuned_sbert_topk	0.4892881824464409	708	739	0.9665745219995415	0.8922041681946722
pretrained_sbert_topk_70B_0710_1220	0.48445058742225294	701	746	0.9664593411656319	0.9030075887228236
fine_tuned_sbert	0.46579129232895644	674	773	0.963326422483301	0.8863586923225335
smapling_exp_topk_bm_5_fs_5_70B_0710_0047	0.46	92	108	0.9708333333333343	0.9180544801644716
mixed_retriever_fs_bm_topk_z_off_70B_0710_1017	0.422680412371134	41	56	0.967353951890035	0.8908498329483928
bm25_10_all_sim	0.4105044920525225	594	853	0.9559548491131113	0.8583735492871636
bm25_10_all_sim_div_0619_1915	0.3946095369730477	571	876	0.955010366275056	0.8546415651877238
zero_shot_greedy_0620_1337	0.1686247408431237	244	1203	0.906150656530754	0.7097736655704873
