name	jga	right	wrong	slot_acc	slot_f1
smapling_exp_topk_bm_5_fs_5_0523_0315	0.7208016586040082	1043	404	0.7072563925362808	0.6704339159672611
smapling_exp_topk_bm	0.6399447131997236	926	521	0.9814328495738348	0.934546839766948
mixed_retriever_fs_bm_topk_z_off_2	0.6060815480304077	877	570	0.9799585348997949	0.9281396073125225
mixed_retriever_fs_bm_topk_z_off	0.6019350380096752	871	576	0.9794287030638127	0.9272719548481044
mixed_retriever_fs_bm_topk	0.5970974429854872	864	583	0.9797742455655409	0.9281609915500242
mixed_retriever_fs_bm_topk_2	0.5846579129232896	846	601	0.97889887122783	0.9253279912790053
mixed_retriever_fs_bm_sum_topk	0.5812024879060125	841	606	0.9780695692236845	0.9218771055193369
fine_tuned_sbert	0.5812024879060125	841	606	0.9765722183828647	0.9201967775872398
fine_tuned_sbert_topk	0.580511402902557	840	607	0.976963833218155	0.9201796693807374
bm25_10_all_sim	0.5659986178299931	819	628	0.9759272057129714	0.9192872759361639
mixed_retriever_fs_bm	0.5618521078092605	813	634	0.9742686017046782	0.9127618117235224
smapling_exp_topk_bm_5_fs_5	0.55286800276434	800	647	0.9751670122091729	0.9191234670790325
mixed_retriever_fs_bm_sample_topk	0.5473393227366966	792	655	0.9766413268832105	0.9198526059642601
mixed_retriever_fs_bm_2	0.5404284727021423	782	665	0.9745680718728448	0.9158796097079149
bm25_10_all_sim_div	0.5369730476848652	777	670	0.973139829532369	0.9131461205632712
bm25_16_all_sim_div	0.5314443676572218	769	678	0.9746832527067517	0.9172707340630879
bm25_16_all_sim_div_2	0.5314443676572218	769	678	0.9745680718728422	0.9174468746331215
bm25_10_all_sim_div_2	0.5293711126468555	766	681	0.9727712508638592	0.9115497800553801
mixed_retriever_fs_bm_sum	0.5279889426399447	764	683	0.9756277355448096	0.9192006722404739
bm25_10_ret_sim_div	0.5224602626123013	756	691	0.9725408891960406	0.9097491076014581
pretrained_sbert_topk	0.4996544574982723	723	724	0.9712508638562581	0.9093590783629745
pretrained_sbert	0.47753973738769867	691	756	0.9698917300161276	0.9040270770369159
zero_shot_greedy	0.32688320663441606	473	974	0.9479843354065904	0.838846685705051
