name	jga	right	wrong	slot_acc	slot_f1
smapling_exp_topk_bm_5_fs_5_0619_1426	0.7263157894736842	69	26	0.5968421052631581	0.5605323711091837
smapling_exp_topk_bm_5_fs_5_0523_0315	0.72356599861783	1047	400	0.7073485372034082	0.6706600188479434
smapling_exp_topk_bm_5_fs_5_0619_1747	0.6751592356687898	106	51	0.670063694267516	0.6353306249971662
smapling_exp_topk_bm	0.6330338631651693	916	531	0.9812255240727983	0.9336910153753306
mixed_retriever_fs_bm_topk_z_off_2	0.608154803040774	880	567	0.9798433540658857	0.9278425239079418
mixed_retriever_fs_bm_topk_z_off	0.6040082930200414	874	573	0.9793135222299035	0.9269748714435239
mixed_retriever_fs_bm_topk	0.5991706979958535	867	580	0.9796590647316318	0.9278639081454436
mixed_retriever_fs_bm_topk_2	0.5867311679336559	849	598	0.9789679797281755	0.9254244585220507
mixed_retriever_fs_bm_sum_topk	0.5832757429163787	844	603	0.97813867772403	0.9219735727623823
fine_tuned_sbert	0.5812024879060125	841	606	0.9765722183828647	0.9201967775872398
fine_tuned_sbert_topk	0.5798203178991016	839	608	0.976710435383555	0.9196276501572275
bm25_10_all_sim	0.5680718728403593	822	625	0.9759041695461896	0.9190151645106998
mixed_retriever_fs_bm	0.557705597788528	807	640	0.9741303847039873	0.9121876795668055
fine_tuned_sbert_0618_1830	0.5570145127850725	806	641	0.9729785763648942	0.9151650605718971
mixed_retriever_fs_bm_sample_topk	0.5473393227366966	792	655	0.9767104353835563	0.9199193314128697
error_shot	0.544574982722875	788	659	0.972356599861785	0.9154110283623733
fine_tuned_sbert_topk_0618_1803	0.544574982722875	788	659	0.9718958765261476	0.910575903805838
smapling_exp_topk_bm_5_fs_5	0.544574982722875	788	659	0.9749366505413544	0.918312302147375
bm25_10_all_sim_div	0.5390463026952315	780	667	0.9732089380327145	0.9132425878063166
mixed_retriever_fs_bm_2	0.5383552176917761	779	668	0.974406818705372	0.9155315957146095
mixed_retriever_fs_bm_topk_0618_1830	0.5355908776779544	775	672	0.9735084082008767	0.9151985551004045
bm25_10_all_sim_div_2	0.5335176226675881	772	675	0.9729785763648956	0.9119054041747213
bm25_16_all_sim_div	0.5314443676572218	769	678	0.9747523612070974	0.9173667034261006
bm25_16_all_sim_div_2	0.5314443676572218	769	678	0.9746141442064062	0.9174808235471063
bm25_10_all_sim_0618_1830	0.5286800276434002	765	682	0.9711126468555653	0.9094689100948058
mixed_retriever_fs_bm_sum	0.525224602626123	760	687	0.9755355908776823	0.9189880307009491
bm25_10_ret_sim_div	0.5245335176226675	759	688	0.9726099976963861	0.9098455748445033
bm25_10_all_sim_div_0618_1830	0.5217691776088459	755	692	0.9686477770099078	0.9040777330559968
pretrained_sbert_topk	0.5010366275051832	725	722	0.9715042616908582	0.9100806251107826
pretrained_sbert	0.47753973738769867	691	756	0.9698917300161276	0.9040270770369159
zero_shot_train	0.30744557787359345	5847	13171	0.9377537070143847	0.809740764633344
zero_shot_greedy	0.2978576364892882	431	1016	0.941326883206637	0.8184588343364777
